,dt,img_href,name,text
10,23/10/09,http://www.usurt.ru/uploads/main/0dc/65237840df695/v-Y0MQ31l_4.jpg,Выставка «Труды ученых УрГУПС»,"Друзья, а вы ходите в библиотеку?Уверяем: самое время заглянуть туда!В читальном зале (ауд. Б2-58) открылась книжная выставка «Труды учёных УрГУПС».Важно отметить, что в УрГУПС науке отводится особая роль. Здесь созданы все условия для ученых, запускаются современные программы научных исследований, разрабатываются новейшие системы и технологии. Научные открытия наших преподавателей лежат в основе обучения по различным специальностям и направлениям подготовки и будут актуальны еще много-много лет.Выставка продлится до 27 октября. Увидимся в библиотеке!"
11,23/10/09,http://www.usurt.ru/uploads/main/0dc/65237730cd2e6/IMfq1SZaAKs.jpg,"Помощь братьям нашим меньшим
","Сотрудники УВВР вместе с членами Совета обучающихся УрГУПС организовали акцию «Протяни лапу помощи», приуроченную ко Всемирному дню животных.Члены Совета обучающихся УрГУПС вывезли собранную помощь в приют и провели время с питомцами.Ребята отмечают, что часть приобретенных товаров для собак была закуплена на вырученные средства со сдачи макулатуры в конкурсе ""Бумаге - вторую жизнь"", а также благодаря неравнодушным студентам и сотрудникам университета."
12,23/10/09,http://www.usurt.ru/uploads/main/0dc/6523767c2efdc/CoENN8Br9VE.jpg,Фестиваль «Россия многоликая»,"В период с 5 сентября по 31 декабря 2023 года проводится Международный молодежный фестиваль народного творчества «Россия многоликая».Цель фестиваля - привлечение студентов к изучению, творческой интерпретации и транслированию культурных традиционных ценностей народов России.Организатор - студенческий союз МГУ имени М.В. Ломоносова.Отборочный этап фестиваля продлится до 10 октября 2023 года.Номинации:Народный вокалТеатрализованные номера этнокультурыХудожественное словоНациональная хореографияЭтнический костюмЖивопись, иллюстрацияОригинальный жанрХудожественная фотографияПоэзияПрикладное искусствоМультижанровая номинация «Друзья России»Подробнее о фестивале: https://vk.com/fest_rossia_msu"
13,23/10/09,http://www.usurt.ru/uploads/main/0dc/652375a31b86b/H2GqG-LdWuM.jpg,Будущие железнодорожники России,"На базе филиала УрГУПС - Челябинского института путей сообщения - состоялся очный заключительный этап Всероссийского смотра-конкурса творческих проектов «Будущие железнодорожники России», учредителем которого является Федеральное агентство железнодорожного транспорта.Для участия в финале были отобраны 10 лучших работ.На торжественной церемонии открытия участников приветствовали проректор УрГУПС по учебной работе и связям с производством Нина Фридриховна Сирина, директор ЧИПС УрГУПС Константин Юрьевич Рыбалченко и заместитель начальника ЮУЖД по кадрам и социальным вопросам Сергей Владимирович Карелин.В рамках заключительного этапа участникам предстояло представить презентацию своего конкурсного проекта и ответить на вопросы жюри. По итогам соревнования лучшим был признан проект «Движение к новым достижениям», выполненный представителем филиала СамГУПС в Саратове.Поздравляем всех победителей и призеров конкурса, а также координаторов проектов! Желаем новых достижений!"
14,23/10/09,http://www.usurt.ru/uploads/main/0dc/65237537cac39/3IWrjyRBbCI.jpg,Конкурс «Проводники смыслов»,"В период c 4 ноября 2023 года по 12 апреля 2024 года на Выставке достижений народного хозяйства (ВДНХ) пройдет Международная выставка-форум «Россия». В качестве оператора экскурсионного сопровождения выставки определена автономная некоммерческая организация «Больше, чем путешествие».В формате Всероссийского конкурса «Проводники смыслов» проводятся мероприятия по отбору и подготовке 2 000 экскурсоводов (гидов), из которых 1 000 человек из Москвы и Московской области, а 1 000 человек – из других субъектов Российской Федерации.К участию в конкурсе приглашаются граждане Российской Федерации как из числа профессиональных экскурсоводов (гидов), так и обучающихся учреждений среднего профессионального и высшего образования в возрасте от 22 лет.Информация со сроками, порядком проведения и требованиями размещена на официальной странице конкурса.Расходы на доставку и проживание иногородних участников осуществляются за счет организаторов.В рамках подготовки гидов для кратковременной работы на выставке (не более 7 календарных дней) в октябре-ноябре 2023 года запланировано проведение 2 потоков бесплатной практико- ориентированной образовательной программы по профстандарту «гид-экскурсовод» в дистанционном формате с выдачей удостоверения о повышении квалификации установленного образца или сертификата о прохождении программы обучения.Отбор на второй поток образовательной программы пройдет в период с 19 сентября до 19 октября 2023 года включительно."
15,23/10/06,http://www.usurt.ru/uploads/main/0dc/651fd70848f75/734F5h5ccHs.jpg,На страже информационной безопасности,"Дорогие друзья! На официальном сайте Уральского государственного университета путей сообщения заработал новый сервис. Если на просторах сети «Интернет» вы обнаружили противоправный и запрещенный контент, провоцирующий других пользователей на совершение незаконных действий, сообщите об этом через специальное окно на портале университета.Давайте вместе будем на страже информационной безопасности!"
16,23/10/06,http://www.usurt.ru/uploads/main/0dc/651fd4690e55c/ywUZMAF4hu8.jpg,Игровой симулятор «Рынок и капитал»,"4 октября наш вуз посетили организаторы масштабной программы «Я в деле». Проект реализуется благотворительным фондом поддержки образовательных программ «Капитаны» в 72-х регионах России. Гости провели для студентов УрГУПС обучающую игру «Рынок и капитал».В рамках программы наши студенты познакомились с основами финансовой грамотности и попробовали себя в роли предпринимателей. С первых минут ребята погрузились в атмосферу рыночных отношений и соперничества. Они  учились решать бизнес-кейсы, работать в команде, рисковать на «бирже» и даже успели потанцевать. На этапе «Ресурс» участники проверили свои знания, отвечая на вопросы о предпринимательской деятельности.Студенты УрГУПС остались в восторге от игры, на протяжении всего мероприятия все участники были вовлечены в процесс, никто не стоял в стороне.- Классная игра! Я очень люблю именно интерактивные мероприятия, это всегда весело и интересно, - поделилась впечатлениями студентка механического факультета Виктория Парамонова. – Мне больше всего понравился этап «Ресурсы», где нужно было отвечать на вопросы, потому что для меня это было легко. А вот этап «Бизнес-кейсы» оказался достаточно сложным, нам не хватало времени и опыта для решения поставленных задач. Мы не пожалели, что пришли  на эту игру, и уже записались на будущий курс занятий. Я считаю, что многим людям, как и мне,  просто нужно пойти и начать что-то делать, и сегодня нам дали попробовать, «пощупать» сферу предпринимательства и понять, твое это или нет. Думаю, у меня неплохо получится, так что я пойду дальше. Кто знает, вдруг это шаг в мое будущее. - Мы пришли рассказать ребятам о новых возможностях, - отмечает Егор Невидимов, организатор мероприятия. –  Если у тебя есть идея, есть желание, то вот та самая площадка, где ты можешь все реализовать, а мы в этом обязательно поможем! Лучшие команды были награждены грамотами и призами, а всех желающих пригласили на сезонный обучающий курс, где им представится возможность создать свой собственный проект вместе с единомышленниками и сразиться за финансирование своего проекта.София КолоколоваФото Ксении Костыревой"
17,23/10/06,http://www.usurt.ru/uploads/main/0dc/651fcdad013ea/SymoKpHQxB0.jpg,Быть учителем – это призвание,"Ежегодно в России отмечают один из самых ярких и важных праздников – День учителя. Всем известно, что 2023 год объявлен годом педагога и наставника, и его миссия – признание особого статуса педагогических работников.Вчера, 5 октября, в Уральском государственном университете путей сообщения прошел концерт, посвященный нашим дорогим преподавателям.Мероприятие началось с приветственных слов проректора по молодежной политике Елены Александровны Романовой:- Уважаемые коллеги, дорогие преподаватели и любимые сотрудники, разрешите поздравить вас с этим замечательным праздником! Образ первого учителя мы бережно храним в своем сердце, а полученные в первом классе знания несем на протяжении всего жизненного пути. Быть учителем – это призвание. Большое спасибо нашим преподавателям за  терпение и преданность своему делу.Елена Александровна вручила преподавателям вуза благодарственные письма за многолетний добросовестный труд в деле подготовки специалистов для транспортной отрасли.Коллег поздравил исполняющий обязанности руководителя Уральского территориального управления Федерального агентства железнодорожного транспорта  Олег Николаевич Давыдов:- Дорогие друзья! Сегодня великий праздник для каждого человека, ведь одними из самых близких для нас людей являются учителя. Знания, которые мы получаем от них – ценный  и хрупкий капитал в нашей жизни. Поэтому преподаватели, которые оберегают, приумножают  и передают эти знания  другим, несут очень значимую миссию. Желаю вам любви, здоровья вашим семьям, и, конечно же, уважения со стороны учеников и студентов!Олег Николаевич вручил благодарственные письма за высокий профессионализм, терпение и благородный педагогический труд, направленный на развитие студентов, доценту кафедры «Электроснабжение транспорта» А.В. Окуневу, доцентам кафедры «Управление в социальных и экономических системах, философия и история» А.В.  Кутищеву и А.А. Курасовой.С приветственным словом выступил заместитель начальника Свердловской железной дороги по кадрам и социальным вопросам  Дмитрий Александрович Романенко:- Сердечно поздравляю вас с Днем учителя! Ваш труд невероятно значим для всех нас. Как сказали ранее, вуз и производственная среда – это неотъемлемая часть нашего успеха. Именно поэтому фундамент, который вы закладываете в наших студентов, а потом и работников Свердловской магистрали, очень важен. Дорогие преподаватели, искренне желаю вам продолжать непростую традицию и чтить память своих предшественников!За значимый вклад в систему образования и подготовку высококвалифицированных специалистов для Свердловской железной дороги благодарственным письмом наградили деканов ЭТФ, ЭМФ и ФУПП – В.В. Башурова, И.С. Цихалевского, М.В. Кириллова.Завершающим поздравлением стало выступление заместителя главы Администрации Железнодорожного района города Екатеринбурга Галины Михайловны Петровой:- Мне выпала большая честь поздравить наших преподавателей с этим замечательным днем – Днем учителя. Мне особенно дорог этот праздник, так как я прошла большой путь от преподавателя до начальника управления образования, и я  хорошо знаю, насколько это непростой, но очень благодарный труд. Для настоящего учителя нет большой радости, чем видеть своего ученика успешным и достойным человеком. От лица главы Администрации Железнодорожного района, выпускника Уральского государственного университета путей сообщения, поздравляю вас с Днем учителя и желаю крепкого здоровья и успехов!За многолетний добросовестный труд, высокий профессионализм, значительный вклад в воспитание и обучение молодежи, а также в связи с 85-летием со дня образования Железнодорожного района города Екатеринбурга, благодарственным письмом главы Администрации Железнодорожного района были награждены кандидат технических наук, доцент кафедры «Автоматика, телемеханика и связь на железнодорожном транспорте» А.В. Волынская и кандидат технических наук, доцент кафедры «Вагоны» К.М. Колясов.Мероприятие завершилось выступлениями студенческих коллективов, которые в творческой форме поблагодарили преподавателей за их бесценный труд.С самого раннего возраста нас сопровождают учителя: они поддерживают в трудный момент, направляют на правильный путь, дают знания и являются не только наставниками по жизни, но и близкими людьми. Школьник, студент, специалист – вне зависимости от нашего социального статуса и возраста мы всегда будем хранить память о наших дорогих преподавателях, уважать и любить их. Ведь именно благодаря им мы развиваемся, растем профессионально и духовно. Низкий поклон за ваш труд, дорогие учителя!Елизавета ХазиеваФото Ксении Костыревой"
18,23/10/05,http://www.usurt.ru/uploads/main/0db/651e2ee0d174e/bOCr-ZaHHZk.jpg,С Днём учителя!,Предлагаем вашему вниманию поздравление ректора УрГУПС Александра Геннадьевича Галкина с Днём учителя.
19,23/10/04,http://www.usurt.ru/uploads/main/0db/651d4d8365c4a/TJHBgNBIzns.jpg,Осенний кросс,"Уважаемые студенты, преподаватели и сотрудники!7 октября Уральский государственный юридический университет проводит спортивное мероприятие «Осенний кросс». Забег пройдет в парке УрГУПС. Дистанции на выбор - 1918 метров и 5 километров.Возрастные группы: 18-34, 35-50, 50+.Приглашаем вас принять участие в спортивном мероприятии!Регистрация участников состоится 7 октября в 11:00 по адресу: ул. Колмогорова, 54 (ФОК УрГЮУ). При регистрации нужно выбрать дистанцию, назвать фамилию и имя, возраст и университет.До встречи на ярком спортивном празднике!"
